id,date,time,pond_id,pond_size,fish_number,temperature,oxygen,salinity,Ph,water_quality,fish_weight,fish_liveness,feed_interval,feed_weight
1,2025-01-01,14:46:26,A01,8,53987,17.2,6.4,0.21,7.1,95.4,51.3,4775.0,0.0,103.84
2,2025-01-02,11:14:36,A01,8,53975,16.0,6.0,0.2,7.0,98.2,52.7,4887.0,20.5,78.0
3,2025-01-03,12:32:41,A01,8,53963,15.7,6.0,0.21,7.1,99.3,54.0,4953.0,25.3,76.88
4,2025-01-04,14:30:12,A01,8,53950,16.2,6.2,0.21,7.1,98.6,55.3,4812.0,26.0,85.55
5,2025-01-05,13:10:30,A01,8,53942,15.9,6.2,0.21,7.1,98.7,56.7,2763.0,22.7,84.4
6,2025-01-06,13:17:47,A01,8,53929,17.4,6.2,0.21,7.1,95.2,58.0,3329.0,24.1,102.76
7,2025-01-07,11:31:31,A01,8,53921,16.5,6.0,0.21,7.1,95.7,59.3,3887.0,22.2,93.18
8,2025-01-08,14:10:21,A01,8,53910,15.9,5.5,0.19,7.0,96.9,60.7,2791.0,26.6,84.28
9,2025-01-09,12:28:11,A01,8,53899,15.9,5.5,0.21,7.1,96.8,62.0,3944.0,22.3,85.94
10,2025-01-10,15:05:42,A01,8,53891,16.2,5.5,0.24,7.1,97.6,63.3,4899.0,26.6,90.82
11,2025-01-11,11:12:42,A01,8,53880,16.3,5.2,0.22,7.1,97.5,64.7,3312.0,20.1,91.07
12,2025-01-12,16:55:23,A01,8,53871,16.1,5.3,0.19,7.0,96.6,66.0,2823.0,29.7,91.96
13,2025-01-13,17:29:13,A01,8,53860,16.7,5.7,0.19,7.0,95.9,67.3,3078.0,24.6,105.08
14,2025-01-14,13:24:43,A01,8,53852,16.1,5.7,0.19,7.0,97.3,68.7,3211.0,19.9,99.76
15,2025-01-15,15:37:53,A01,8,53842,17.4,6.2,0.17,7.0,99.2,70.0,3968.0,26.2,124.33
16,2025-01-16,16:29:47,A01,8,53832,16.7,6.2,0.15,7.0,98.8,71.3,3670.0,24.9,117.48
17,2025-01-17,17:03:04,A01,8,53822,16.6,6.3,0.16,7.0,98.1,72.7,4550.0,24.6,119.31
18,2025-01-18,13:58:47,A01,8,53810,16.3,6.6,0.15,7.0,95.2,74.0,3720.0,20.9,120.78
19,2025-01-19,13:26:18,A01,8,53798,16.1,7.0,0.15,7.0,96.2,75.3,4252.0,23.5,124.49
20,2025-01-20,11:27:04,A01,8,53790,16.9,7.5,0.15,7.0,97.7,76.7,4171.0,22.0,145.51
21,2025-01-21,13:26:48,A01,8,53778,15.6,7.2,0.15,7.0,97.8,78.0,4105.0,26.0,123.09
22,2025-01-22,08:34:33,A01,8,53766,16.5,7.5,0.15,7.0,99.6,79.3,3495.0,19.1,143.74
23,2025-01-23,16:51:06,A01,8,53757,15.6,8.0,0.16,7.0,95.1,80.7,4822.0,32.3,136.2
24,2025-01-24,10:42:51,A01,8,53748,16.1,8.0,0.18,7.0,98.8,82.0,3365.0,17.9,147.24
25,2025-01-25,17:41:05,A01,8,53740,16.9,8.0,0.18,7.0,96.0,83.3,2685.0,31.0,164.39
26,2025-01-26,09:57:40,A01,8,53729,17.0,7.9,0.16,7.0,96.9,84.7,3221.0,16.3,167.79
27,2025-01-27,12:45:39,A01,8,53718,15.9,7.7,0.17,7.0,97.1,86.0,3683.0,26.8,146.91
28,2025-01-28,09:51:08,A01,8,53709,15.7,7.7,0.19,7.0,97.9,87.3,3799.0,21.1,145.09
29,2025-01-29,08:27:00,A01,8,53701,16.6,7.8,0.18,7.0,96.1,88.7,3859.0,22.6,166.07
30,2025-01-30,11:55:15,A01,8,53689,16.0,8.0,0.16,7.0,98.7,90.0,3986.0,27.5,159.76
31,2025-01-31,10:51:54,A01,8,53678,15.6,8.0,0.15,7.0,98.3,91.3,4022.0,22.9,154.14
32,2025-02-01,13:39:43,A01,8,53668,17.6,8.0,0.17,7.0,99.6,92.7,3988.0,26.8,197.11
33,2025-02-02,10:08:28,A01,8,53657,16.9,8.0,0.15,7.0,95.5,94.0,4802.0,20.5,185.71
34,2025-02-03,09:05:10,A01,8,53646,16.2,7.7,0.18,7.0,98.7,95.3,4827.0,22.9,168.64
35,2025-02-04,12:41:32,A01,8,53637,17.6,7.8,0.15,7.0,99.0,96.7,3428.0,27.6,202.49
36,2025-02-05,12:17:29,A01,8,53624,17.5,7.4,0.15,7.0,98.8,98.0,4837.0,23.6,196.21
37,2025-02-06,16:48:05,A01,8,53614,17.4,7.1,0.15,7.0,96.2,99.3,4638.0,28.5,191.57
38,2025-02-07,14:17:50,A01,8,53602,16.0,7.1,0.15,7.0,96.5,100.7,4945.0,21.5,165.19
39,2025-02-08,12:48:45,A01,8,53592,17.6,7.3,0.15,7.0,98.8,102.0,4490.0,22.5,204.43
40,2025-02-09,16:07:58,A01,8,53583,16.5,7.1,0.15,7.0,97.5,103.3,3974.0,27.3,180.1
41,2025-02-10,17:39:50,A01,8,53575,17.6,6.8,0.18,7.0,98.1,104.7,3671.0,25.5,199.82
42,2025-02-11,14:09:21,A01,8,53565,17.5,6.3,0.21,7.1,100.0,106.0,4474.0,20.5,190.37
43,2025-02-12,17:43:08,A01,8,53553,17.4,5.8,0.19,7.0,97.3,107.3,4685.0,27.6,181.81
44,2025-02-13,11:01:46,A01,8,53544,17.2,6.2,0.22,7.1,96.8,108.7,3267.0,17.3,186.9
45,2025-02-14,17:14:44,A01,8,53533,17.6,6.4,0.24,7.1,95.2,110.0,3145.0,30.2,200.83
46,2025-02-15,17:59:08,A01,8,53524,17.7,6.1,0.23,7.1,98.9,111.3,3185.0,24.7,199.63
47,2025-02-16,08:15:37,A01,8,53513,17.3,6.1,0.24,7.1,95.8,112.7,3412.0,14.3,193.45
48,2025-02-17,09:00:38,A01,8,53505,17.6,5.7,0.27,7.1,96.2,114.0,3134.0,24.8,193.43
49,2025-02-18,16:56:11,A01,8,53496,17.6,5.9,0.24,7.1,98.5,115.3,4509.0,31.9,200.31
50,2025-02-19,16:39:40,A01,8,53483,16.8,6.3,0.26,7.1,97.9,116.7,4924.0,23.7,192.8
51,2025-02-20,10:03:56,A01,8,53470,16.3,6.7,0.28,7.1,97.5,118.0,3068.0,17.4,190.63
52,2025-02-21,13:51:34,A01,8,53459,17.3,6.4,0.3,7.2,95.2,119.3,4593.0,27.8,209.48
53,2025-02-22,14:40:19,A01,8,53451,17.2,6.4,0.3,7.2,95.9,120.7,2829.0,24.8,209.51
54,2025-02-23,09:03:44,A01,8,53440,16.7,6.6,0.3,7.2,96.0,122.0,2602.0,18.4,204.12
55,2025-02-24,16:12:59,A01,8,53429,16.9,6.9,0.3,7.2,99.5,123.3,4173.0,31.2,217.03
56,2025-02-25,14:14:19,A01,8,53417,17.4,6.7,0.3,7.2,95.5,124.7,2597.0,22.0,227.4
57,2025-02-26,12:23:32,A01,8,53406,16.8,6.8,0.3,7.2,99.9,126.0,4937.0,22.2,217.12
58,2025-02-27,15:48:05,A01,8,53395,17.1,7.1,0.29,7.1,96.9,127.3,2858.0,27.4,233.4
59,2025-02-28,09:21:10,A01,8,53385,16.6,7.5,0.28,7.1,99.1,128.7,3875.0,17.6,231.11
60,2025-03-01,09:27:24,A01,8,53373,19.2,7.7,0.27,7.1,98.0,131.2,4153.0,24.1,557.88
61,2025-03-02,13:42:02,A01,8,53364,20.2,8.0,0.3,7.2,96.9,133.7,3867.0,28.2,581.2
62,2025-03-03,17:52:22,A01,8,53354,20.6,7.9,0.3,7.2,98.1,136.2,2530.0,28.2,587.02
63,2025-03-04,14:04:53,A01,8,53345,20.1,8.0,0.3,7.2,97.0,138.7,4566.0,20.2,602.72
64,2025-03-05,15:36:15,A01,8,53336,18.8,8.0,0.28,7.1,96.6,141.2,3268.0,25.5,614.75
65,2025-03-06,08:28:14,A01,8,53327,20.7,7.5,0.27,7.1,95.1,143.7,3377.0,16.9,600.08
66,2025-03-07,11:56:33,A01,8,53317,20.7,7.5,0.24,7.1,97.1,146.2,4183.0,27.5,612.29
67,2025-03-08,13:07:38,A01,8,53305,19.7,7.7,0.25,7.1,95.6,148.7,4006.0,25.2,632.81
68,2025-03-09,13:21:51,A01,8,53292,19.4,7.3,0.27,7.1,98.6,151.2,3991.0,24.2,620.02
69,2025-03-10,14:56:30,A01,8,53281,19.1,6.9,0.27,7.1,98.6,153.7,2510.0,25.6,303.92
70,2025-03-11,16:04:20,A01,8,53268,20.0,6.9,0.27,7.1,95.5,156.2,4026.0,25.1,308.79
71,2025-03-12,09:33:47,A01,8,53258,20.0,6.9,0.27,7.1,97.9,158.7,2625.0,17.5,313.67
72,2025-03-13,14:58:20,A01,8,53248,20.1,7.2,0.25,7.1,96.5,161.2,2718.0,29.4,328.0
73,2025-03-14,16:17:38,A01,8,53236,19.4,7.3,0.25,7.1,99.6,163.7,4854.0,25.3,335.98
74,2025-03-15,14:00:56,A01,8,53225,19.2,7.8,0.26,7.1,99.6,166.2,4017.0,21.7,355.77
75,2025-03-16,17:58:43,A01,8,53213,19.4,7.6,0.28,7.1,98.1,168.7,4524.0,28.0,354.19
76,2025-03-17,17:21:49,A01,8,53202,19.3,8.0,0.3,7.2,98.6,171.2,3581.0,23.4,371.0
77,2025-03-18,17:13:33,A01,8,53194,20.7,7.9,0.3,7.2,95.9,173.7,4891.0,23.9,373.22
78,2025-03-19,17:33:00,A01,8,53185,20.3,7.4,0.3,7.2,98.4,176.2,3115.0,24.3,362.62
79,2025-03-20,09:04:08,A01,8,53174,19.5,7.6,0.29,7.1,97.9,178.7,3946.0,15.5,374.53
80,2025-03-21,08:22:34,A01,8,53164,20.7,7.3,0.29,7.1,95.3,181.2,4691.0,23.3,369.88
81,2025-03-22,09:28:30,A01,8,53155,20.3,7.0,0.3,7.2,99.3,183.7,3068.0,25.1,364.59
82,2025-03-23,17:37:09,A01,8,53146,18.9,6.9,0.3,7.2,96.0,186.2,2681.0,32.1,366.13
83,2025-03-24,12:55:22,A01,8,53136,20.4,6.5,0.3,7.2,98.3,188.7,3725.0,19.3,357.37
84,2025-03-25,08:10:21,A01,8,53128,19.7,7.0,0.29,7.1,95.6,191.2,3035.0,19.2,379.68
85,2025-03-26,14:42:15,A01,8,53117,20.4,7.0,0.27,7.1,99.5,193.7,3710.0,30.5,385.36
86,2025-03-27,11:33:18,A01,8,53106,20.7,7.2,0.29,7.1,95.8,196.2,4335.0,20.9,396.53
87,2025-03-28,09:24:25,A01,8,53097,19.7,7.5,0.27,7.1,96.2,198.7,4097.0,21.9,413.12
88,2025-03-29,08:36:19,A01,8,53087,20.0,7.8,0.29,7.1,98.4,201.2,4588.0,23.2,428.27
89,2025-03-30,17:21:19,A01,8,53075,19.0,7.4,0.26,7.1,95.4,203.7,2953.0,32.8,420.09
90,2025-03-31,14:57:34,A01,8,53064,20.1,7.5,0.26,7.1,98.4,206.2,3833.0,21.6,428.89
91,2025-04-01,11:45:55,A01,8,53056,23.0,7.0,0.24,7.1,97.5,208.7,4069.0,20.8,416.0
92,2025-04-02,14:04:32,A01,8,53045,23.1,7.1,0.24,7.1,99.2,211.2,3336.0,26.3,424.73
93,2025-04-03,12:11:33,A01,8,53035,23.8,7.2,0.22,7.1,99.2,213.7,4266.0,22.1,434.43
94,2025-04-04,12:57:31,A01,8,53022,24.1,6.9,0.21,7.1,95.4,216.2,4116.0,24.8,428.08
95,2025-04-05,12:48:30,A01,8,53014,23.1,7.3,0.23,7.1,99.2,218.7,2547.0,23.8,447.93
96,2025-04-06,09:43:47,A01,8,53006,23.9,6.9,0.21,7.1,97.3,221.2,4575.0,20.9,437.85
97,2025-04-07,10:37:23,A01,8,52998,24.2,6.7,0.2,7.0,98.5,223.7,4688.0,24.9,435.05
98,2025-04-08,15:45:55,A01,8,52989,22.8,6.4,0.18,7.0,97.5,226.2,3684.0,29.1,428.38
99,2025-04-09,15:25:07,A01,8,52979,23.0,6.0,0.17,7.0,97.6,228.7,3816.0,23.7,416.8
100,2025-04-10,17:39:18,A01,8,52971,24.2,6.1,0.16,7.0,97.7,231.2,2573.0,26.2,425.94
101,2025-04-11,15:46:56,A01,8,52959,23.6,5.7,0.18,7.0,97.9,233.7,3638.0,22.1,412.56
102,2025-04-12,11:20:46,A01,8,52951,23.6,5.4,0.21,7.1,97.9,236.2,2924.0,19.6,402.78
103,2025-04-13,09:27:17,A01,8,52943,23.6,5.7,0.21,7.1,99.9,238.7,3378.0,22.1,419.97
104,2025-04-14,12:11:05,A01,8,52934,23.0,6.1,0.21,7.1,97.2,241.2,3981.0,26.7,441.8
105,2025-04-15,09:52:34,A01,8,52925,24.3,6.4,0.24,7.1,95.8,243.7,2751.0,21.7,458.15
106,2025-04-16,12:08:40,A01,8,52915,23.6,5.9,0.26,7.1,96.9,246.2,3531.0,26.3,439.61
107,2025-04-17,14:20:44,A01,8,52903,24.1,5.8,0.26,7.1,96.9,248.7,3499.0,26.2,439.49
